,ARIMA,Prophet,LSTM,XGBoost,BestModel
PM2.5,"{'mae': 8.810518605496563, 'rmse': np.float64(13.988164236918527), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(14.928006083687606)}","{'mae': 32.510426680829156, 'rmse': np.float64(45.36679091670164), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(50.689163858230124)}","{'mae': 9.17215944115837, 'rmse': np.float64(14.660128745802554), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(15.39271257083583)}","{'mae': 9.074262554579603, 'rmse': np.float64(14.393207718615322), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(15.356716401367478)}",ARIMA
PM10,"{'mae': 17.30060474325232, 'rmse': np.float64(27.467668633244497), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(14.927956399663042)}","{'mae': 63.902131077418304, 'rmse': np.float64(89.17453789698082), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(50.73871314656526)}","{'mae': 17.83729714748363, 'rmse': np.float64(28.580000524307952), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(15.330719588149426)}","{'mae': 17.818631327476783, 'rmse': np.float64(28.263024385268725), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(15.356803271558874)}",ARIMA
NO2,"{'mae': 13.295885445302535, 'rmse': np.float64(21.109411720756707), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(14.928023936588344)}","{'mae': 49.04517184406275, 'rmse': np.float64(68.43711873385573), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(50.673232806409835)}","{'mae': 13.777575166629562, 'rmse': np.float64(21.937579955925543), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(15.409497111321526)}","{'mae': 13.693947910599986, 'rmse': np.float64(21.720657629134717), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(15.356802983147437)}",ARIMA
CO,"{'mae': 0.16822493154704046, 'rmse': np.float64(0.26705707777429954), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(14.924726122445449)}","{'mae': 0.621212866940745, 'rmse': np.float64(0.8668684261334166), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(50.71852651724438)}","{'mae': 0.1742865162587386, 'rmse': np.float64(0.27834859904974263), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(15.3433675006328)}","{'mae': 0.1732372099547754, 'rmse': np.float64(0.27477210791436996), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(15.347623132768632)}",ARIMA
O3,"{'mae': 15.218170558252961, 'rmse': np.float64(24.16137490291196), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(14.928011105619891)}","{'mae': 56.20404340489314, 'rmse': np.float64(78.4277654239389), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(50.733906180206546)}","{'mae': 15.810506325498313, 'rmse': np.float64(25.290981201124723), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(15.411567799641542)}","{'mae': 15.673740511342107, 'rmse': np.float64(24.86099500510917), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(15.356745975929659)}",ARIMA
SO2,"{'mae': 18.261807984882672, 'rmse': np.float64(28.993650131778654), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(14.928015410271662)}","{'mae': 67.45081465770558, 'rmse': np.float64(94.12529962847374), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(50.735062414740135)}","{'mae': 20.1103058275049, 'rmse': np.float64(30.599278115814677), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(16.897540816014647)}","{'mae': 18.808488568306842, 'rmse': np.float64(29.833194005462524), 'mape': np.float64(1.7976931348623157e+308), 'smape': np.float64(15.35674580591302)}",ARIMA
